city,country,state,state_abbrev
Grand Rapids,United States,Michigan,MI
Grand Rapids,United States,Michigan,MI
Grand Rapids,United States,Michigan,MI
Grand Rapids,United States,Michigan,MI
Grand Rapids,United States,Michigan,MI
Grand Traverse County,United States,Michigan,MI
Grandville,United States,Michigan,MI
Grant,United States,Michigan,MI
Grayling,United States,Michigan,MI
Grayling,United States,Michigan,MI
Greenville,United States,Michigan,MI
Greenville,United States,Michigan,MI
Greenville,United States,Michigan,MI
Grosse Ile,United States,Michigan,MI
Grosse Isle,United States,Michigan,MI
Grosse Ile,United States,Michigan,MI
Grosse Pointe Shores,United States,Michigan,MI
Grosse Pointe Woods,United States,Michigan,MI
Gulliver,United States,Michigan,MI
Hamilton,United States,Michigan,MI
Hancock,United States,Michigan,MI
Harrison,United States,Michigan,MI
Hartford,United States,Michigan,MI
Hartland,United States,Michigan,MI
Hastings,United States,Michigan,MI
Harrison,United States,Michigan,MI
Harrison,United States,Michigan,MI
Harrisville,United States,Michigan,MI
Hartland,United States,Michigan,MI
Hastings,United States,Michigan,MI
Highland,United States,Michigan,MI
Holland,United States,Michigan,MI
Holly,United States,Michigan,MI
Holt,United States,Michigan,MI
Holt,United States,Michigan,MI
Holt,United States,Michigan,MI
Houghton Lake,United States,Michigan,MI
Howell,United States,Michigan,MI
Howell,United States,Michigan,MI
Inkster,United States,Michigan,MI
Interlochen,United States,Michigan,MI
Ionia,United States,Michigan,MI
Ionia,United States,Michigan,MI
Iron River,United States,Michigan,MI
Jackson,United States,Michigan,MI
Jackson,United States,Michigan,MI
Jackson,United States,Michigan,MI
Jackson,United States,Michigan,MI
Jackson,United States,Michigan,MI
Kalamazoo,United States,Michigan,MI
Kalamazoo,United States,Michigan,MI
Kalamazoo,United States,Michigan,MI
Kalamazoo,United States,Michigan,MI
Kalamazoo,United States,Michigan,MI
Keego Harbor,United States,Michigan,MI
Kelloggsville,United States,Michigan,MI
Kent County,United States,Michigan,MI
Kent County,United States,Michigan,MI
Kenton,United States,Michigan,MI
Kentwood,United States,Michigan,MI
Kewadin,United States,Michigan,MI
Kingsford,United States,Michigan,MI
Kingsford,United States,Michigan,MI
Lake Orion,United States,Michigan,MI
Lambertville,United States,Michigan,MI
Lapeer,United States,Michigan,MI
Lansing,United States,Michigan,MI
Lincoln Park,United States,Michigan,MI
Lincoln Park,United States,Michigan,MI
